100012215147107,横水-1-1-6-O4CSD-02_乔家屯-1-1-6-O4CSD-01,100011500603302,横水,100011500675685,乔家屯
100012215145788,二龙山-1-1-5-OIB1D-01_南平村-1-1-5-OIB1D-01,100011500733289,二龙山,100011500745926,南平村
100012215141976,庞村-1-1-6-O4CSD-01_武家水-1-1-6-O4CSD-02,100011500749830,庞村,100011500611023,武家水
100012215146596,耿高城-1-1-6-O4CSD-01_豆公-1-1-6-O4CSD-02,100011500739383,耿高城,100011500604159,豆公
100012215146622,滑县王村-1-1-5-OIB1S-01_牛屯王村学校-1-1-4-OIB1S-01,100011500697834,滑县王村,100011500780660,牛屯王村学校
100012215147153,东柏涧&西柏涧-1-1-6-O4CSD-02_铜冶-1-1-4-OL4-02,100011500604755,东柏涧&西柏涧,100011500605981,铜冶
100012215144734,顾德（辛留）-1-1-6-O4CSD-01_菜园马营-1-1-6-O4CSD-02,100011500741716,顾德（辛留）,100011500603996,菜园马营
100012215141680,矿物局（VIP）-1-1-6-O4CSD-01_水冶医院(VIP)-1-1-6-O4CSD-02,100011500606280,矿物局（VIP）,100011500609433,水冶医院(VIP)
100012215146934,东石井岗-1-1-5-OIB1D-01_孙家岗东北-1-1-5-OIB1D-02,100011500777053,东石井岗,100011500664436,孙家岗东北
100012215146392,林钢-1-1-4-OIB1S-01_石村-1-1-5-OIB1D-01,100011500603803,林钢,100011500601643,石村
100014427595463,枣村乡北马庄-1-1-6-O4CSD-01_小寨村-1-1-6-O4CSD-02,100011500731631,枣村乡北马庄,100011500734175,小寨村
100012215141962,李家岗-1-1-6-O4CSD-01_井头-1-1-6-O4CSD-02,100011500690102,李家岗,100011500606960,井头
100012215154215,王相岩-1-1-6-O4CSD-02_贤麻沟-1-1-6-O4CSD-01,100011500709720,王相岩,100011500603441,贤麻沟
100012215042252,安林矿（VIP）-1-1-6-O4CSD-01_水冶四中（VIP）-1-1-6-O4CSD-01,100011500996341,安林矿（VIP）,100011500996312,水冶四中（VIP）
100012215083838,茶点小碾-1-1-5-OIB1S-01_茶店-1-1-4-OIB1D-01,100011501132421,茶点小碾,100011500603641,茶店
100012215145310,铜冶-1-1-4-OL4-03_付家沟-1-1-6-O4CSD-02,100011500605981,铜冶,100011500777026,付家沟
100012215123527,厚子岗（村通）-1-1-6-O4CSD-01_茶店山拐头-1-1-6-O4CSD-02,100011500734062,厚子岗（村通）,100011500609116,茶店山拐头
100012215073036,白道口（VIP)-1-1-6-O4CSD-01_四间房粮管所-1-1-6-O4CSD-01,100011500714141,白道口（VIP),100011500765592,四间房粮管所
100012215147164,郭桑屯-1-1-6-O4CSD-01_南堤上-1-1-6-O4CSD-02,100011500734320,郭桑屯,100011500607066,南堤上
100012215147380,李珍村-1-1-6-O4CSD-02_铜冶石堂-1-1-6-O4CSD-01,100011500754761,李珍村,100011500607149,铜冶石堂
100012215146597,内黄-1-1-4-OL4-01_林字-1-1-6-O4CSD-02,100011500603621,内黄,100011500709985,林字
100012215147375,河顺东山-1-1-6-O4CSD-02_河顺-1-1-6-O4CSD-01,100011500709248,河顺东山,100011500608022,河顺
100012215147012,孟庄-1-1-6-O4CSD-02_赵庄-1-1-6-O4CSD-01,100011500741713,孟庄,100011500810083,赵庄
100012215144949,白条河-1-1-6-OL4-03_刘邢固-1-1-6-O4CSD-02,100011500601775,白条河,100011500611011,刘邢固
100012215121422,矿物局（VIP）-1-1-6-O4CSD-02_水冶东北-1-1-6-O4CSD-01,100011500606280,矿物局（VIP）,100011500604044,水冶东北
