100011500601648,靳庄
100011500601659,楚旺东街
100011500601716,一都空调
100011500601775,白条河
100011500601790,上官
100011500601794,内黄菜园
100011500601852,西官庄
100011500603225,马上南菜村
100011500603276,岳儿寨
100011500603282,刘次范
100011500603318,东安村
100011500603320,石盘屯
100011500603340,大青山村
100011500603425,五陵乡水塔河村
100011500603491,南高固
100011500603498,大坡
100011500603533,任固
100011500603535,北召
100011500603550,五陵林场
100011500603564,田氏
100011500603577,后河
100011500603621,内黄
100011500603633,枣村
100011500603635,西段村
100011500603681,前莜昙
100011500603685,陈李庄
100011500603704,田达村
100011500603719,汤阴五里河
100011500603720,后河城布
100011500603726,庄头东村
100011500603780,古贤周刘村
100011500603901,半坡店乡东老河寨
100011500603996,菜园马营
100011500604016,柳圈
100011500604075,南北街村（郭固）
100011500604117,潘营
100011500604159,豆公
100011500604183,大偏店
100011500604561,汤河北基站
100011500604681,宋村小屯
100011500604917,东口上村
100011500605689,任固辛留
100011500605708,满村
100011500605793,双村
100011500605910,汤王庙
100011500605911,南青村
100011500605916,二安
100011500605962,梁庄
100011500606026,汤阴
100011500606137,吴村
100011500606243,焦楼
100011500606468,古贤
100011500606484,西大城
100011500606500,魏庄村
100011500606653,石中村
100011500606752,菜园东尧会
100011500606876,西王村
100011500606881,魏南呼
100011500606982,后王村
100011500606991,白条河医院
100011500607066,南堤上
100011500607078,晁小寨
100011500607084,宋村
100011500607097,北苗圃
100011500607222,张龙
100011500607290,六村
100011500607332,小营
100011500607355,辉泉
100011500607472,南丈堡
100011500607539,半坡店
100011500607577,李村
100011500607583,大柴村
100011500607692,裴村
100011500607876,伏道北里于
100011500607882,汤阴一中
100011500608062,后化村
100011500608129,井店
100011500608282,南阳
100011500608529,后古城
100011500608542,瓦岗
100011500608551,白营
100011500608590,西隆化
100011500609177,东嘴头
100011500609183,白道口镇前伍旺
100011500609189,伏道乡司马村
100011500609437,镇抚寨
100011500609506,白家庄
100011500609517,杨庄
100011500609520,韩王尉
100011500609563,马上
100011500609675,西王苑
100011500611011,刘邢固
100011500630780,慈周寨高庄
